"","x"
"1",0.223677560687065
"2",0.236068695783615
"3",0.434660017490387
"4",0.505495369434357
"5",0.487149626016617
"6",0.274815320968628
"7",0.377845346927643
"8",0.588291823863983
"9",0.468115746974945
"10",0.466543555259705
"11",0.398676961660385
"12",0.563516557216644
"13",0.227144747972488
"14",0.290593981742859
"15",0.658444404602051
"16",0.346813142299652
"17",0.447313755750656
"18",0.0965618938207626
"19",0.235492274165154
"20",0.0820546597242355
"21",0.355997443199158
"22",0.407160699367523
"23",0.737241983413696
"24",0.293156623840332
"25",0.103239879012108
"26",0.586276292800903
"27",0.327361106872559
"28",0.482071578502655
"29",0.174954265356064
"30",0.449998706579208
"31",0.51227879524231
"32",0.407455235719681
"33",0.640207707881927
"34",0.489313870668411
"35",0.452778100967407
"36",0.22331990301609
"37",0.408896803855896
"38",0.135119944810867
"39",0.480208784341812
"40",0.227468594908714
"41",0.1573356539011
"42",0.182204574346542
"43",0.158716887235641
"44",0.54150390625
"45",0.229994684457779
"46",0.542666256427765
"47",0.774407029151917
"48",0.300964653491974
"49",0.46854156255722
"50",0.396984815597534
"51",0.62054842710495
"52",0.668356418609619
"53",0.145086839795113
"54",0.559681713581085
"55",0.177677392959595
"56",0.582061946392059
"57",0.335912466049194
"58",0.326460510492325
"59",0.495518803596497
"60",0.460400640964508
"61",0.45545357465744
"62",0.253634303808212
"63",0.28048774600029
"64",0.501377642154694
"65",0.390700221061707
"66",0.130537837743759
"67",0.134469971060753
"68",0.353832334280014
"69",0.302571058273315
"70",0.720567345619202
"71",0.787650883197784
"72",0.147543326020241
"73",0.459702759981155
"74",0.68708324432373
"75",0.838117897510529
"76",0.194041788578033
"77",0.605925798416138
"78",0.733551502227783
"79",0.413307040929794
"80",0.158979848027229
"81",0.242546409368515
"82",0.687234997749329
"83",0.52730119228363
"84",0.422697514295578
"85",0.629452228546143
"86",0.572614014148712
"87",0.172461688518524
"88",0.643264710903168
"89",0.565530955791473
"90",0.18182860314846
"91",0.0886569991707802
"92",0.0968663394451141
"93",0.249220758676529
"94",0.130200102925301
"95",0.461077451705933
"96",0.321101248264313
"97",0.506836771965027
"98",0.127696305513382
"99",0.858106076717377
"100",0.638172149658203
"101",0.451352834701538
"102",0.264078468084335
"103",0.331795930862427
"104",0.31780156493187
"105",0.491501241922379
"106",0.418182522058487
"107",0.496305465698242
"108",0.374609082937241
"109",0.290824294090271
"110",0.3917376101017
"111",0.837529480457306
"112",0.146909832954407
"113",0.402039706707001
"114",0.242924347519875
"115",0.404495179653168
"116",0.562261164188385
"117",0.420650362968445
"118",0.726717948913574
"119",0.288278639316559
"120",0.246211141347885
"121",0.261351764202118
"122",0.20810966193676
"123",0.537058711051941
"124",0.429444938898087
"125",0.501534879207611
"126",0.246978163719177
"127",0.290408402681351
"128",0.621457934379578
"129",0.302556365728378
"130",0.529094219207764
"131",0.395966678857803
"132",0.540798485279083
"133",0.251937121152878
"134",0.343683838844299
"135",0.169836014509201
"136",0.281247198581696
"137",0.59001624584198
"138",0.300535261631012
"139",0.176801666617393
"140",0.426352053880692
"141",0.238475769758224
"142",0.153822720050812
"143",0.67121559381485
"144",0.487001240253448
"145",0.454169869422913
"146",0.462377816438675
"147",0.829265177249908
"148",0.187966421246529
"149",0.272852808237076
"150",0.261700332164764
"151",0.426775127649307
"152",0.359043806791306
"153",0.454564273357391
"154",0.390150815248489
"155",0.115871950984001
"156",0.451463997364044
"157",0.390784800052643
"158",0.525764286518097
"159",0.46752917766571
"160",0.508370637893677
"161",0.427499681711197
"162",0.600841879844666
"163",0.311063140630722
"164",0.25779139995575
"165",0.649281203746796
"166",0.441805839538574
"167",0.825965404510498
"168",0.516337156295776
"169",0.435137867927551
"170",0.34038108587265
"171",0.402000606060028
"172",0.269469887018204
"173",0.682481825351715
"174",0.32982936501503
"175",0.58133590221405
"176",0.78417694568634
"177",0.444668889045715
"178",0.22394435107708
"179",0.613037288188934
"180",0.818159699440002
"181",0.850074410438538
"182",0.439063042402267
"183",0.56810200214386
"184",0.625172853469849
"185",0.433265686035156
"186",0.309319853782654
"187",0.474274486303329
"188",0.595142841339111
"189",0.473165452480316
"190",0.360311686992645
"191",0.135681718587875
"192",0.246828898787498
"193",0.472499489784241
"194",0.138282626867294
"195",0.290489166975021
"196",0.440180242061615
"197",0.259721875190735
"198",0.454633593559265
"199",0.120287112891674
"200",0.879412114620209
"201",0.22836247086525
"202",0.198537513613701
"203",0.569293618202209
"204",0.255080431699753
"205",0.37398824095726
"206",0.343265146017075
"207",0.466712206602097
"208",0.288610637187958
"209",0.476277470588684
"210",0.419256418943405
"211",0.525078415870667
"212",0.633570373058319
"213",0.0979249626398087
"214",0.565176725387573
"215",0.569540917873383
"216",0.175701335072517
"217",0.383954137563705
"218",0.417258888483047
"219",0.690542161464691
"220",0.572867274284363
"221",0.359281301498413
"222",0.599819362163544
"223",0.530280292034149
"224",0.828019618988037
"225",0.197007358074188
"226",0.252784550189972
"227",0.6499302983284
"228",0.212121173739433
"229",0.55896782875061
"230",0.375308275222778
"231",0.620289623737335
"232",0.39503338932991
"233",0.210672229528427
"234",0.737241983413696
"235",0.874452590942383
"236",0.519225060939789
"237",0.439782589673996
"238",0.829265177249908
"239",0.132907792925835
"240",0.728376030921936
"241",0.64140522480011
"242",0.385501265525818
"243",0.857524037361145
"244",0.843128025531769
"245",0.246408745646477
"246",0.171600222587585
"247",0.843071103096008
"248",0.117323473095894
"249",0.376253038644791
"250",0.548490524291992
"251",0.295040160417557
"252",0.401390671730042
"253",0.37941899895668
"254",0.668441653251648
"255",0.100082978606224
"256",0.477842599153519
"257",0.244755551218987
"258",0.177048802375793
"259",0.322476923465729
"260",0.708482086658478
"261",0.457616448402405
"262",0.180884808301926
"263",0.308788657188416
"264",0.680416762828827
"265",0.80546247959137
"266",0.746506333351135
"267",0.595466792583466
"268",0.317140847444534
"269",0.439734190702438
"270",0.434426724910736
"271",0.482378631830215
"272",0.299848943948746
"273",0.189802303910255
"274",0.512472331523895
"275",0.41753214597702
"276",0.204476669430733
"277",0.432009309530258
"278",0.521143853664398
"279",0.669545114040375
"280",0.569901585578918
"281",0.497704088687897
"282",0.198341712355614
"283",0.488002687692642
"284",0.208651036024094
"285",0.519241273403168
"286",0.26925465464592
"287",0.409215331077576
"288",0.476622581481934
"289",0.153257101774216
"290",0.223351150751114
"291",0.458877176046371
"292",0.181488558650017
"293",0.521117687225342
"294",0.241822853684425
"295",0.485257983207703
"296",0.478860348463058
"297",0.101137384772301
"298",0.73657613992691
"299",0.109366483986378
"300",0.252846091985703
"301",0.416407257318497
"302",0.231507033109665
"303",0.146946549415588
"304",0.223923280835152
"305",0.339597761631012
"306",0.190596863627434
"307",0.17500564455986
"308",0.427351444959641
"309",0.27950456738472
"310",0.18230614066124
"311",0.731803834438324
"312",0.30770742893219
"313",0.554804086685181
"314",0.412503510713577
"315",0.201557502150536
"316",0.655507326126099
"317",0.331074595451355
"318",0.556349217891693
"319",0.323202699422836
"320",0.175979420542717
"321",0.686411499977112
"322",0.401376187801361
"323",0.419812649488449
"324",0.392914205789566
"325",0.338371336460114
"326",0.615474343299866
"327",0.493480950593948
"328",0.387032210826874
"329",0.279825091362
"330",0.239177718758583
"331",0.253769993782043
"332",0.70418107509613
"333",0.415800929069519
"334",0.214705005288124
"335",0.377576887607574
"336",0.246017187833786
"337",0.329715877771378
"338",0.180200472474098
"339",0.522791624069214
"340",0.335926294326782
"341",0.508660852909088
"342",0.3258016705513
"343",0.295818299055099
"344",0.230709403753281
"345",0.466887801885605
"346",0.126224890351295
"347",0.507900714874268
"348",0.198776841163635
"349",0.336899131536484
"350",0.204476401209831
"351",0.45696434378624
"352",0.376894503831863
"353",0.428445726633072
"354",0.241423413157463
"355",0.575034618377686
"356",0.493021816015244
"357",0.275336533784866
"358",0.15211033821106
"359",0.171834915876389
